,geo.place.country,geo.place.full_name,geo.place.geo.bbox,geo.coordinates.coordinates,author.location,entities.annotations,Inferred Cords
0,Turkey,"Aliağa, İzmir","[26.8760174,38.6953556,27.1679419,38.9361489]",undefined,"Aliağa, Türkiye",undefined,"(27.02197965, 38.81575225)"
1,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
2,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
3,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
4,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
5,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
6,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
7,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,"İstanbul, Türkiye",undefined,"(32.8183812, 39.88897635)"
8,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,Ankara,undefined,"(32.8183812, 39.88897635)"
9,Turkey,"Antalya, Türkiye","[30.5956584,36.8332547,30.7661198,36.9468851]",undefined,undefined,undefined,"(30.6808891, 36.8900699)"
10,Azerbaijan,Azerbaijan,"[44.763113,38.3970566,50.6078339,41.9099084]",undefined,"New York, USA",undefined,"(47.68547345, 40.153482499999996)"
11,Turkey,"Babaeski, Türkiye","[27.060673,41.408328,27.1193748,41.446716]",undefined,"Hakk'ın yanında,Trakyalı bea🦅",undefined,"(27.0900239, 41.427521999999996)"
12,United Kingdom,"Didcot, England","[-1.273279,51.5954519,-1.2208434,51.6232637]",undefined,"Oxford, England","[{""start"":99,""end"":105,""probability"":0.8803,""type"":""Person"",""normalized_text"":""Johnson""}]","(-1.2470612, 51.6093578)"
13,Turkey,Didim Kuşadası Yolu,"[27.270271,37.377327,27.270271,37.377327]",undefined,"Bodrum, Türkiye ",undefined,"(27.270271, 37.377327)"
