,geo.place.country,geo.place.full_name,geo.place.geo.bbox,geo.coordinates.coordinates,in_reply_to_user.location,author.location,cords,temp
0,Turkey,"Aliağa, İzmir","[26.8760174,38.6953556,27.1679419,38.9361489]",undefined,undefined,"Aliağa, Türkiye","(27.02197965, 38.81575225)",[26.8760174 38.6953556 27.1679419 38.9361489]
1,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
2,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
3,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
4,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
5,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
6,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
7,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,"İstanbul, Türkiye","(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
8,Turkey,"Ankara, Türkiye","[32.7382989,39.8401957,32.8984635,39.937757]",undefined,undefined,Ankara,"(32.8183812, 39.88897635)",[32.7382989 39.8401957 32.8984635 39.937757 ]
9,Turkey,"Antalya, Türkiye","[30.5956584,36.8332547,30.7661198,36.9468851]",undefined,undefined,undefined,"(30.6808891, 36.8900699)",[30.5956584 36.8332547 30.7661198 36.9468851]
